title,description,text,date,language
Le président démissionne au nom de “la paix civile”,"Avec la médiation d’un éminent conseiller de Vladimir Poutine, la crise de pouvoir au sein de la région sécessionniste de Géorgie s’est réglée sans violence.","Après plusieurs jours dimportantes manifestations réclamant son départ et plus dintégration avec la Russie, le président abkhaze Alexandre Ankvab, élu en 2011 pour cinq ans à la tête de la région séc… [+1021 chars]",2022-06-01,fr
"L'Afrique est ""victime"" du conflit en Ukraine, affirme Macky Sall à Poutine","Moscou - Le président de l'Union africaine et du Sénégal Macky Sall a demandé vendredi à Vladimir Poutine de ""prendre conscience"" que les pays africains sont ""des victimes"" du conflit en Ukraine, sur fond de crainte de crise alimentaire mondiale.","""Je suis venu vous voir pour vous demander de prendre conscience que nos pays (...) sont des victimes de cette crise au plan économique"", a-t-il déclaré à Sotchi (sud de la Russie) au début de leur r… [+2213 chars]",2022-06-03,fr
La deuxième banque du pays est-elle du flan ?,"Panique dans le monde financier portugais. La banque Espírito Santo, le deuxième établissement du pays, a perdu près de 3,6 milliards d’euros en quelques mois.","La BES [Banco Espírito Santo] tremble. Des pertes de 3 577 millions deuros, titre ce 31 juillet le quotidien portugais I. Le deuxième établissement financier du pays, la banque Espírito Santo, créée … [+2476 chars]",2022-06-01,fr
Quelles sont les causes de l'inflation actuelle?,"Revenue par surprise après une dizaine d'années d'accalmie, l'inflation est bien partie pour rester. Ce que tout le monde était loin d'avoir prévu. Lire la suite","Temps de lecture: 8 min
Depuis une dizaine d'années, l'inflation était basse, en dessous des objectifs que s'étaient fixés la plupart des banques centrales des pays développés. Elles ont tout essayé… [+12387 chars]",2022-05-09,fr
Covid-19 : la petite histoire de la grande pandémie,La pandémie est-elle déjà tombée dans les oubliettes de l'Histoire. L'historien Adam Tooze nous refait le film dans cet essai très documenté.,"Professeur à l'université de Columbia à New York, Adam Tooze est un spécialiste reconnu d'histoire contemporaine. Il s'est fait connaître du grand public par Crashed, best-seller sur la crise financi… [+2776 chars]",2022-05-21,fr
"Anne Boden, patronne de Starling, veut sortir la fintech de Londres","Cardiff (Royaume-Uni) - Depuis les plus grands bureaux de la banque en ligne Starling, on ne voit pas les gratte-ciel de la City mais le paysage urbain plus modeste de Cardiff, capitale du Pays de Galles, qu'Anne Boden connaît bien.","""Nous avons de bonnes universités et de grands talents à Cardiff, nous les utilisons pour créer quelque chose de spécial pour nos clients"", revendique la patronne de la banque britannique à l'occasio… [+4005 chars]",2022-05-31,fr
"Contre l’inflation, astuces, trucs et troc en stock","Contraints de s’adapter à la flambée des prix, les consommateurs disposent d’outils variés pour tenter de préserver leur budget.","Ressourceries, comparateurs de prix, emprunt dobjets, groupement dachat Les outils pour consommer sans (trop) se ruiner ne manquent pas. Face à la hausse des prix, voici quelques pistes pour consomme… [+7064 chars]",2022-05-13,fr
"L'Afrique est ""victime"" du conflit en Ukraine, affirme Macky Sall à Poutine","Le président de l'Union africaine et du Sénégal Macky Sall a demandé vendredi à Vladimir Poutine de ""prendre conscience"" que les pays africains sont ""des victimes"" du conflit en Ukraine, sur fond de crainte de crise alimentaire mondiale.
""Je suis venu vous vo…","Le président de l'Union africaine et du Sénégal Macky Sall a demandé vendredi à Vladimir Poutine de ""prendre conscience"" que les pays africains sont ""des victimes"" du conflit en Ukraine, sur fond de … [+2393 chars]",2022-06-03,fr
La Berd aggrave sa prévision de contraction pour l'Ukraine et toute sa zone,"Londres - La Banque européenne pour la reconstruction et le développement (Berd), qui tient cette semaine son assemblée générale annuelle, a fortement aggravé ses prévisions de contraction économique pour l'Ukraine au regard de l'invasion russe qui se prolong…","Elle table désormais sur une contraction brutale de 30% de l'économie ukrainienne cette année au lieu de 20% attendus en mars, au tout début de l'offensive russe. 
L'organisation internationale anti… [+4035 chars]",2022-05-10,fr
"La Commission suspend les critères de Maastricht un an de plus, jusqu’à la fin 2023","Alors que l’Allemagne et l’Europe du nord restent attachés à l’orthodoxie budgétaire, l’exécutif communautaire recommande aux pays européens les plus endettés de commencer à réduire leur dette. Elle conseille notamment à la France de réformer son système des …","Le commissaire à léconomie Paolo Gentiloni (à gauche) et le vice-président de la Commission européenne Valdis Dombrovskis, à Bruxelles (Belgique), le 23 mais 2022. OLIVIER MATTHYS / AP
Reviendra-t-o… [+3201 chars]",2022-05-23,fr
"L'Afrique est ""victime"" du conflit en Ukraine, affirme Macky Sall à Poutine","Le président du Sénégal et de l'Union africaine Macky Sall a demandé vendredi à Vladimir Poutine de ""prendre conscience"" que l'Afrique était victime de son conflit en Ukraine, du fait du danger d'une crise alimentaire mondiale.
""Je suis venu vous voir pour vo…","Le président du Sénégal et de l'Union africaine Macky Sall a demandé vendredi à Vladimir Poutine de ""prendre conscience"" que l'Afrique était victime de son conflit en Ukraine, du fait du danger d'une… [+3770 chars]",2022-06-03,fr
"Comment le Covid-19 a servi de révélateur à la crise de la mondialisation, selon Adam Tooze","Dans son nouveau livre, ""L'Arrêt"" (1) (éd. Les Belles Lettres), l'historien de l'université de Columbia (Etats-Unis) signe la suite de son best-seller ""Crashed"", qui analysait les conséquences de la crise de 2008. Il n'aura fallu qu'une mutation marginale d'u…","Spécialiste de l'histoire moderne allemande, en particulier du nazisme, et des crises financières, l'historien britannique Adam Tooze, professeur à l'Université de Columbia où il dirige l'Institut eu… [+12424 chars]",2022-05-19,fr
La pensée hamédienne dans la compréhension des crises depuis 1994 jusqu'au Covid-19 et la guerre en Ukraine. La FED piégée par sa stratégie,"1ère Partie Qu'en est-il du sens historique de la pandémie Covid-19 qui s'est abattue sur l'humanité depuis fin 2019 et est en train vraisemblablement de se terminer. Qu'en est-il de la guerre en Ukraine survenue le 24 février 2022, elle a pratiquement pris l…","1ère Partie
 Qu’en est-il du sens historique de la pandémie Covid-19 qui s’est abattue sur l’humanité depuis fin 2019 et est en train vraisemblablement de se terminer. Qu’en est-il de la guerre en U… [+34917 chars]",2022-05-30,fr
La Banque mondiale se mobilise contre la crise alimentaire,L'institution financière va débloquer près de 30 milliards d'euros dans divers volets consacrés à la lutte contre l'insécurité alimentaire. Le programme s'étalera sur quinze mois.,Les institutions internationales s'alarment de la situation alimentaire mondiale ! La Banque mondiale débloque plus de onze milliards d'euros pour financer des projets d'approvisionnement en eau ou d… [+2240 chars],2022-05-19,fr
"Diamants bruts, chasseurs clandestins","Les mines du Namaqualand ont fermé dans les années 2000, pas assez rentables. Mais nombreux sont ceux qui continuent d’y chercher fortune – en toute illégalité, parfois au péril de leur vie. Un journaliste a suivi l’un d’entre eux.","Yellow a construit sa maison grâce à largent de la ganja [cannabis]. Abri pour voiture, sol carrelé, télévision par satellite, le tout payé en liquide. Les habitations voisines, blotties les unes con… [+5445 chars]",2022-05-31,fr
"Guillaume Klossa : ""L'Europe doit mener une guerre des récits avec la Chine et l'Amérique""","Le fondateur du think tank EuropaNova publie Fierté européenne, un manifeste destiné à convaincre les Français des vertus de leur citoyenneté européenne. Indispensable.","Fondateur du think tank EuropaNova et du mouvement démocratique Civico Europa, conseiller spécial pour la présidence française de l'UE de 2008, essayiste, Guillaume Klossa a vécu de l'intérieur les c… [+15918 chars]",2022-05-08,fr
"Aux Etats-Unis, Buffalo entre deuil et colère après l’assassinat de 10 personnes par un suprémaciste blanc","L’auteur de l’attaque, Payton Gendron, 18 ans, a visé un quartier noir défavorisé de cette ville de l’Etat de New York. Il a laissé un manifeste complotiste dans lequel il se revendique raciste et antisémite.","Une personne se recueille devant le supermarché où un suprémaciste blanc a tué dix personnes, à Buffalo (Etats-Unis), le 15 mai 2022. SCOTT OLSON / AFP
Tops Friendly Markets était le lieu où tout le… [+2627 chars]",2022-05-16,fr
Vers une petite « mondialisation entre amis » ?,[Le nouveau désordre mondial] La pandémie et la guerre en Ukraine accélèrent le recul de la mondialisation amorcé dès 2008. Jusqu’à fragmenter les systèmes productif et financier mondiaux ?,"Après une crise financière, une pandémie et une guerre en Europe, où en est la mondialisation économique ? Elle se porte assurément moins bien ! De quel point de vue ? La mondialisation, cest dabord … [+13193 chars]",2022-05-05,fr
"Après dix années de crise, le mea culpa du président de Deutsche Bank","A l’heure de quitter ses fonctions de président du conseil de surveillance de la première banque allemande, Paul Achleitner, a confessé, de manière inattendue, des erreurs pendant ses deux mandats successifs.","Il nest pas si fréquent que les dirigeants de grandes entreprises avouent, au moment de passer la main, sêtre beaucoup trompés, de longues années durant. Paul Achleitner, le président du conseil de s… [+2774 chars]",2022-05-19,fr
Pourquoi l’Allemagne est en partie responsable de la désindustrialisation française,"Sans coordination, une relance de la demande en France pourrait nuire à l’industrie hexagonale au profit de l’Allemagne. Répétant le scénario du début des années 2000.","Les mesures de lutte contre linflation ont succédé au « quoi quil en coûte ». Pour limiter les impacts économiques de la crise sanitaire puis ceux de la guerre en Ukraine, lheure est à la dépense pub… [+6211 chars]",2022-05-13,fr
